,lat,lon,pressure,ASL_Sector_Pres,time
364,-69.75,247.5,982.001953125,989.4833984375,2009-08-01
365,-72.75,224.25,974.5278930664062,982.3870239257812,2009-09-01
366,-69.0,276.75,970.1220092773438,979.6563720703125,2009-10-01
367,-72.75,198.0,977.96337890625,989.497314453125,2009-11-01
368,-69.0,273.0,980.9763793945312,985.3226928710938,2009-12-01
369,-60.75,282.0,983.7789916992188,992.330078125,2010-01-01
370,-66.0,213.0,982.1333618164062,988.739990234375,2010-02-01
371,-69.75,211.5,974.75390625,981.9335327148438,2010-03-01
372,-69.0,219.75,971.22802734375,978.2066650390625,2010-04-01
373,-68.25,248.25,969.4707641601562,979.3743896484375,2010-05-01
374,-71.25,264.0,967.0029907226562,977.5535278320312,2010-06-01
375,-73.5,213.75,964.2893676757812,977.5220336914062,2010-07-01
376,-72.75,230.25,966.3009643554688,979.5999145507812,2010-08-01
377,-69.75,251.25,970.5175170898438,978.2024536132812,2010-09-01
378,-69.75,251.25,961.201416015625,973.7835083007812,2010-10-01
379,-70.5,252.75,966.4888305664062,976.4456787109375,2010-11-01
380,-63.0,283.5,975.994140625,985.1253662109375,2010-12-01
381,-63.0,214.5,986.337158203125,990.360595703125,2011-01-01
382,-65.25,261.0,973.0531005859375,981.5848388671875,2011-02-01
383,-62.25,275.25,980.6911010742188,984.6452026367188,2011-03-01
384,-70.5,206.25,984.5022583007812,988.7208251953125,2011-04-01
385,-68.25,245.25,968.6967163085938,976.746337890625,2011-05-01
386,-69.75,219.75,980.833740234375,986.4478759765625,2011-06-01
387,-69.75,195.0,975.237060546875,987.6485595703125,2011-07-01
388,-69.0,228.75,974.4812622070312,986.3096923828125,2011-08-01
389,-66.75,192.0,982.5048217773438,989.0565795898438,2011-09-01
390,-68.25,218.25,968.2446899414062,976.8228149414062,2011-10-01
391,-69.0,223.5,974.9332885742188,982.3746337890625,2011-11-01
392,-66.0,237.0,972.1575927734375,979.3778076171875,2011-12-01
393,-75.75,204.75,978.0056762695312,983.9791870117188,2012-01-01
394,-68.25,279.75,979.84912109375,988.1024780273438,2012-02-01
395,-66.75,233.25,977.3432006835938,982.9480590820312,2012-03-01
396,-67.5,242.25,971.8877563476562,980.0101928710938,2012-04-01
397,-75.0,195.0,974.9743041992188,983.6962890625,2012-05-01
398,-64.5,292.5,975.749755859375,989.306396484375,2012-06-01
399,-72.0,237.75,970.2236938476562,981.8707885742188,2012-07-01
400,-66.0,255.75,971.1743774414062,982.4745483398438,2012-08-01
